1 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 11 ; 1,63
2 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 4 ; 0,88
3 ; VIA FILIPPO RE,6 ; 6 ; 1,19
4 ; VIA FILIPPO RE,6 ; 7 ; 1,61
5 ; VIALE MONTE S. MICHELE,12 ; 8 ; 2,23
6 ; VIALE MONTE S. MICHELE,12 ; 6 ; 1,52
7 ; VIALE MONTE GRAPPA,8 ; 7 ; 1,63
8 ; VIALE MONTE GRAPPA,8 ; 8 ; 1,68
9 ; VIA E. FERRI,14 ; 16 ; 3,33
10 ; VIALE MONTE S. MICHELE,12 ; 4 ; 0,80
11 ; VIA N. LASAGNI,5/A ; 7 ; 1,66
12 ; VIA R. FRANCHETTI,8 ; 6 ; 1,24
13 ; VIA R. FRANCHETTI,8 ; 3 ; 1,20
14 ; VIA J. F. KENNEDY,20 ; 1 ; 0,26
15 ; VIA J. F. KENNEDY,20 ; 4 ; 1,08
16 ; VIA J. F. KENNEDY,20 ; 5 ; 1,54
17 ; VIA J. F. KENNEDY,20 ; 3 ; 0,70
18 ; VIA F. CONFALONIERI,1 ; 1 ; 0,25
19 ; VIA F. CONFALONIERI,1 ; 12 ; 2,39
20 ; VIA F. CONFALONIERI,1 ; 3 ; 0,62
21 ; VIA CELLA ALL'OLDO,8 ; 5 ; 1,33
22 ; VIA CELLA ALL'OLDO,8 ; 3 ; 0,65
23 ; VIA CELLA ALL'OLDO,8 ; 7 ; 1,47
24 ; VIA G. BRUNO,29 ; 5 ; 1,10
25 ; VIA GHIARDA,28 ; 5 ; 1,30
26 ; VIA G. PUCCINI,4 ; 3 ; 0,93
27 ; VIA G. PUCCINI,4 ; 10 ; 2,16
28 ; VIA G. PUCCINI,4 ; 10 ; 2,01
29 ; VIA G. PUCCINI,4 ; 8 ; 1,67
30 ; VIA PREMUDA,36 ; 9 ; 2,10
31 ; VIA PREMUDA,36 ; 0 ;  
32 ; VIA PREMUDA,36 ; 13 ; 2,43
33 ; VIA PREMUDA,34 ; 9 ; 2,12
34 ; VIA PREMUDA,34 ; 18 ; 3,46
35 ; VIA PREMUDA,34 ; 11 ; 2,14
36 ; VIA PREMUDA,34 ; 6 ; 1,03
37 ; VIA F. P. TOSTI,4 ; 8 ; 2,60
38 ; VIA F. P. TOSTI,4 ; 5 ; 1,41
39 ; VIA D. FREDDI,41 ; 17 ; 2,80
40 ; VIA D. FREDDI,41 ; 16 ; 2,74
41 ; VIA D. F. CECATI,12 ; 6 ; 1,23
42 ; VIA D. F. CECATI,12 ; 5 ; 0,95
43 ; VIA D. F. CECATI,12 ; 3 ; 0,63
44 ; VIA D. F. CECATI,12 ; 12 ; 2,49
45 ; VIA BARTOLO DA SASSOFERRATO,24 ; 9 ; 1,75
46 ; VIA BARTOLO DA SASSOFERRATO,24 ; 7 ; 1,34
47 ; VIA BISMANTOVA,23 ; 4 ; 0,72
48 ; VIA BISMANTOVA,23 ; 3 ; 0,80
49 ; VIA BISMANTOVA,23 ; 9 ; 2,07
50 ; VIA BISMANTOVA,23 ; 3 ; 0,77
51 ; VIA BISMANTOVA,23 ; 7 ; 2,02
52 ; VIA DELLA CANALINA,21 ; 6 ; 1,52
53 ; VIA M. K. GANDHI,16/C ; 9 ; 2,00
54 ; VIA M. K. GANDHI,16/C ; 10 ; 1,96
55 ; VIA M. K. GANDHI,16/C ; 11 ; 1,92
56 ; VIA DELLA CANALINA,21 ; 11 ; 1,71
57 ; VIA DELLA CANALINA,21 ; 10 ; 2,02
58 ; VIA DELLA CANALINA,21 ; 11 ; 1,87
59 ; VIA F.LLI ROSSELLI,41/1 ; 14 ; 2,16
60 ; VIA B. PASCAL,81 ; 4 ; 0,74
61 ; VIA B. PASCAL,81 ; 7 ; 1,13
62 ; VIA B. PASCAL,81 ; 5 ; 1,13
63 ; VIA B. PASCAL,81 ; 8 ; 1,33
64 ; VIA B. PASCAL,81 ; 9 ; 1,68
65 ; VIA GHIARDA,28 ; 8 ; 1,37
66 ; VIA R. IOTTI,2 ; 3 ; 0,85
67 ; VIALE UMBERTO I,44 ; 9 ; 2,00
68 ; VIALE UMBERTO I,44 ; 4 ; 1,04
69 ; VIA E. CIALDINI,3 ; 6 ; 1,37
70 ; VIA E. CIALDINI,3 ; 15 ; 2,86
71 ; VIA J. WIBICKJ,30 ; 5 ; 1,29
72 ; VIA J. WIBICKJ,30 ; 5 ; 1,45
73 ; VIA J. WIBICKJ,30 ; 6 ; 1,65
74 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 10 ; 2,92
75 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 7 ; 2,03
76 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 7 ; 1,95
77 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 11 ; 2,51
78 ; VIA M.L. KING, 1/A ; 9 ; 1,69
79 ; VIA M.L. KING, 1/A ; 10 ; 1,69
80 ; VIA M.L. KING, 1/A ; 11 ; 1,64
81 ; VIA M.L. KING, 1/A ; 4 ; 0,63
82 ; VIA M.L. KING, 1/A ; 7 ; 1,26
83 ; VIA A. TASSONI,136 ; 11 ; 1,52
84 ; VIA A. TASSONI,136 ; 4 ; 0,56
85 ; VIA E. FERMI,38 ; 8 ; 1,40
86 ; VIA E. FERMI,38 ; 5 ; 0,85
87 ; VIA P. G. TERRACHINI,20 ; 8 ; 1,94
88 ; VIA P. G. TERRACHINI,20 ; 6 ; 1,41
89 ; VIA P. G. TERRACHINI,20 ; 5 ; 1,30
90 ; VIA M.L. KING, 1/A ; 9 ; 1,52
91 ; VIA P. G. TERRACHINI,20 ; 3 ; 0,94
92 ; VIA E. TORRICELLI,35 ; 2 ; 0,41
93 ; VIA E. TORRICELLI,35 ; 9 ; 1,77
94 ; VIA A. TASSONI,136 ; 5 ; 0,69
95 ; VIA EMILIA ALL'OSPIZIO,78/80 ; 7 ; 1,41
96 ; VIA J. F. KENNEDY,20/A ; 13 ; 2,62
97 ; VIA DON L.STURZO,9 ; 4 ; 0,96
98 ; VIA DON L.STURZO,9 ; 11 ; 2,37
99 ; VIA DON L.STURZO,9 ; 9 ; 2,00
100 ; VIA GATTALUPA,1 ; 15 ; 2,09
101 ; VIA GATTALUPA,1 ; 5 ; 0,80
102 ; VIA L. PASTEUR,17 ; 9 ; 1,74
103 ; VIA L. PASTEUR,17 ; 16 ; 2,68
104 ; VIA L. E F. SOCINI,19/B ; 8 ; 1,51
105 ; VIA F. CONFALONIERI,1 ; 9 ; 1,58
106 ; VIA V. MAZZELLI,2 ; 13 ; 2,54
107 ; VIA V. MAZZELLI,2 ; 3 ; 0,51
108 ; VIA DELLA TROMBA 36 ; 12 ; 2,29
109 ; VIA N. LASAGNI,5/A ; 9 ; 2,15
110 ; VIA N. LASAGNI,5/A ; 6 ; 1,39
111 ; VIA MAKALLE',18 ; 11 ; 2,91
112 ; VIA MAKALLE',18 ; 3 ; 0,81
113 ; VIA A. VENERI,57 ; 6 ; 1,42
114 ; VIA A. VENERI,57 ; 8 ; 1,92
115 ; VIA CASSALA,10 ; 19 ; 4,94
116 ; VIA CASSALA,10 ; 8 ; 2,23
117 ; VIA F. CAVALLOTTI,56 ; 15 ; 2,81
118 ; VIA DEGLI AZZARRI,7 ; 8 ; 1,26
119 ; VIA DEGLI AZZARRI,7 ; 17 ; 2,81
120 ; VIA L. VAN BEETHOVEN,48/1 ; 9 ; 1,80
121 ; VIA L. VAN BEETHOVEN,48/1 ; 9 ; 1,74
122 ; VIA L. VAN BEETHOVEN,131 ; 13 ; 3,40
123 ; VIALE ISONZO,36 ; 7 ; 1,73
124 ; VIA G. BOLOGNESI,2 ; 9 ; 1,91
125 ; VIA G. BOLOGNESI,2 ; 6 ; 1,28
126 ; VIA SALVADOR ALLENDE,3 ; 9 ; 1,91
127 ; VIA SALVADOR ALLENDE,3 ; 7 ; 1,39
128 ; VIA SALVADOR ALLENDE,3 ; 35 ; 6,99
129 ; VIA G. RINALDI,40/A ; 6 ; 1,02
130 ; VIA R. IOTTI,2 ; 8 ; 1,93
131 ; VIA E. FERRI,14 ; 8 ; 1,45
132 ; VIA E. FERRI,14 ; 3 ; 0,59
133 ; VIA E. FERRI,14 ; 13 ; 2,33
134 ; VIALE RISORGIMENTO,80 ; 1 ; 3,33
135 ; VIALE RISORGIMENTO,80 ; 0 ;  
136 ; VIA L. VAN BEETHOVEN,131 ; 14 ; 2,81
137 ; VIA BISMANTOVA,23 ; 4 ; 0,98
138 ; VIA M. K. GANDHI,16/C ; 14 ; 3,06
139 ; VIA F.LLI ROSSELLI,41/1 ; 8 ; 1,43
140 ; VIALE ISONZO,36 ; 12 ; 2,15
141 ; VIA E. FERMI,38 ; 8 ; 1,40
142 ; VIA D. FREDDI,41 ; 15 ; 2,60
143 ; VIA DON L.STURZO,9 ; 5 ; 0,87
144 ; VIA J. F. KENNEDY,20/A ; 15 ; 4,05
145 ; VIA J. F. KENNEDY,20/A ; 15 ; 4,73
146 ; VIA N. LASAGNI,5/A ; 8 ; 1,91
147 ; VIA M.L. KING, 1/A ; 13 ; 2,17
148 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 9 ; 1,92
149 ; VIA PREMUDA,36 ; 9 ; 1,80
150 ; VIA A. TASSONI,136 ; 3 ; 0,47
151 ; VIA P. G. TERRACHINI,20 ; 2 ; 0,58
152 ; VIA E. TORRICELLI,35 ; 13 ; 2,31
153 ; VIALE UMBERTO I,44 ; 9 ; 2,57
154 ; VIA G. BRUNO,29 ; 2 ; 0,58
155 ; VIA R. FRANCHETTI,8 ; 4 ; 0,98
156 ; VIA B. PASCAL,81 ; 8 ; 1,68
157 ; VIA SALVADOR ALLENDE,3 ; 15 ; 3,17
158 ; VIA F. P. TOSTI,4 ; 8 ; 2,33
159 ; VIA J. WIBICKJ,30 ; 8 ; 2,16
160 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 7 ; 1,40