1 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 9 ; 1,34
2 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 4 ; 0,88
3 ; VIA FILIPPO RE,6 ; 7 ; 1,38
4 ; VIA FILIPPO RE,6 ; 4 ; 0,92
5 ; VIALE MONTE S. MICHELE,12 ; 3 ; 0,84
6 ; VIALE MONTE S. MICHELE,12 ; 5 ; 1,27
7 ; VIALE MONTE GRAPPA,8 ; 1 ; 0,23
8 ; VIALE MONTE GRAPPA,8 ; 4 ; 0,84
9 ; VIA E. FERRI,14 ; 5 ; 1,04
10 ; VIALE MONTE S. MICHELE,12 ; 3 ; 0,60
11 ; VIA N. LASAGNI,5/A ; 1 ; 0,24
12 ; VIA R. FRANCHETTI,8 ; 6 ; 1,24
13 ; VIA R. FRANCHETTI,8 ; 2 ; 0,80
14 ; VIA J. F. KENNEDY,20 ; 2 ; 0,51
15 ; VIA J. F. KENNEDY,20 ; 2 ; 0,54
16 ; VIA J. F. KENNEDY,20 ; 3 ; 0,92
17 ; VIA J. F. KENNEDY,20 ; 6 ; 1,41
18 ; VIA F. CONFALONIERI,1 ; 3 ; 0,74
19 ; VIA F. CONFALONIERI,1 ; 3 ; 0,60
20 ; VIA F. CONFALONIERI,1 ; 4 ; 0,83
21 ; VIA CELLA ALL'OLDO,8 ; 2 ; 0,53
22 ; VIA CELLA ALL'OLDO,8 ; 9 ; 1,96
23 ; VIA CELLA ALL'OLDO,8 ; 4 ; 0,84
24 ; VIA G. BRUNO,29 ; 7 ; 1,54
25 ; VIA GHIARDA,28 ; 4 ; 1,04
26 ; VIA G. PUCCINI,4 ; 0 ;  
27 ; VIA G. PUCCINI,4 ; 6 ; 1,29
28 ; VIA G. PUCCINI,4 ; 8 ; 1,61
29 ; VIA G. PUCCINI,4 ; 8 ; 1,67
30 ; VIA PREMUDA,36 ; 6 ; 1,40
31 ; VIA PREMUDA,36 ; 3 ; 0,62
32 ; VIA PREMUDA,36 ; 2 ; 0,37
33 ; VIA PREMUDA,34 ; 0 ;  
34 ; VIA PREMUDA,34 ; 5 ; 0,96
35 ; VIA PREMUDA,34 ; 1 ; 0,19
36 ; VIA PREMUDA,34 ; 3 ; 0,52
37 ; VIA F. P. TOSTI,4 ; 5 ; 1,62
38 ; VIA F. P. TOSTI,4 ; 5 ; 1,41
39 ; VIA D. FREDDI,41 ; 7 ; 1,15
40 ; VIA D. FREDDI,41 ; 2 ; 0,34
41 ; VIA D. F. CECATI,12 ; 1 ; 0,21
42 ; VIA D. F. CECATI,12 ; 5 ; 0,95
43 ; VIA D. F. CECATI,12 ; 4 ; 0,84
44 ; VIA D. F. CECATI,12 ; 4 ; 0,83
45 ; VIA BARTOLO DA SASSOFERRATO,24 ; 5 ; 0,97
46 ; VIA BARTOLO DA SASSOFERRATO,24 ; 6 ; 1,15
47 ; VIA BISMANTOVA,23 ; 13 ; 2,35
48 ; VIA BISMANTOVA,23 ; 1 ; 0,27
49 ; VIA BISMANTOVA,23 ; 6 ; 1,38
50 ; VIA BISMANTOVA,23 ; 4 ; 1,03
51 ; VIA BISMANTOVA,23 ; 7 ; 2,02
52 ; VIA DELLA CANALINA,21 ; 10 ; 2,53
53 ; VIA M. K. GANDHI,16/C ; 5 ; 1,11
54 ; VIA M. K. GANDHI,16/C ; 6 ; 1,18
55 ; VIA M. K. GANDHI,16/C ; 4 ; 0,70
56 ; VIA DELLA CANALINA,21 ; 5 ; 0,78
57 ; VIA DELLA CANALINA,21 ; 4 ; 0,81
58 ; VIA DELLA CANALINA,21 ; 3 ; 0,51
59 ; VIA F.LLI ROSSELLI,41/1 ; 6 ; 0,92
60 ; VIA B. PASCAL,81 ; 4 ; 0,74
61 ; VIA B. PASCAL,81 ; 2 ; 0,32
62 ; VIA B. PASCAL,81 ; 3 ; 0,68
63 ; VIA B. PASCAL,81 ; 9 ; 1,49
64 ; VIA B. PASCAL,81 ; 2 ; 0,37
65 ; VIA GHIARDA,28 ; 7 ; 1,20
66 ; VIA R. IOTTI,2 ; 2 ; 0,56
67 ; VIALE UMBERTO I,44 ; 4 ; 0,89
68 ; VIALE UMBERTO I,44 ; 4 ; 1,04
69 ; VIA E. CIALDINI,3 ; 4 ; 0,91
70 ; VIA E. CIALDINI,3 ; 2 ; 0,38
71 ; VIA J. WIBICKJ,30 ; 5 ; 1,29
72 ; VIA J. WIBICKJ,30 ; 4 ; 1,16
73 ; VIA J. WIBICKJ,30 ; 4 ; 1,10
74 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 2 ; 0,58
75 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 1 ; 0,29
76 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 6 ; 1,67
77 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 8 ; 1,83
78 ; VIA M.L. KING, 1/A ; 3 ; 0,56
79 ; VIA M.L. KING, 1/A ; 7 ; 1,18
80 ; VIA M.L. KING, 1/A ; 5 ; 0,75
81 ; VIA M.L. KING, 1/A ; 4 ; 0,63
82 ; VIA M.L. KING, 1/A ; 2 ; 0,36
83 ; VIA A. TASSONI,136 ; 8 ; 1,10
84 ; VIA A. TASSONI,136 ; 2 ; 0,28
85 ; VIA E. FERMI,38 ; 4 ; 0,70
86 ; VIA E. FERMI,38 ; 6 ; 1,02
87 ; VIA P. G. TERRACHINI,20 ; 3 ; 0,73
88 ; VIA P. G. TERRACHINI,20 ; 4 ; 0,94
89 ; VIA P. G. TERRACHINI,20 ; 1 ; 0,26
90 ; VIA M.L. KING, 1/A ; 4 ; 0,67
91 ; VIA P. G. TERRACHINI,20 ; 3 ; 0,94
92 ; VIA E. TORRICELLI,35 ; 6 ; 1,22
93 ; VIA E. TORRICELLI,35 ; 8 ; 1,57
94 ; VIA A. TASSONI,136 ; 5 ; 0,69
95 ; VIA EMILIA ALL'OSPIZIO,78/80 ; 7 ; 1,41
96 ; VIA J. F. KENNEDY,20/A ; 4 ; 0,81
97 ; VIA DON L.STURZO,9 ; 4 ; 0,96
98 ; VIA DON L.STURZO,9 ; 8 ; 1,72
99 ; VIA DON L.STURZO,9 ; 4 ; 0,89
100 ; VIA GATTALUPA,1 ; 7 ; 0,97
101 ; VIA GATTALUPA,1 ; 5 ; 0,80
102 ; VIA L. PASTEUR,17 ; 6 ; 1,16
103 ; VIA L. PASTEUR,17 ; 3 ; 0,50
104 ; VIA L. E F. SOCINI,19/B ; 6 ; 1,13
105 ; VIA F. CONFALONIERI,1 ; 6 ; 1,05
106 ; VIA V. MAZZELLI,2 ; 4 ; 0,78
107 ; VIA V. MAZZELLI,2 ; 5 ; 0,85
108 ; VIA DELLA TROMBA 36 ; 3 ; 0,57
109 ; VIA N. LASAGNI,5/A ; 2 ; 0,48
110 ; VIA N. LASAGNI,5/A ; 5 ; 1,16
111 ; VIA MAKALLE',18 ; 0 ;  
112 ; VIA MAKALLE',18 ; 6 ; 1,62
113 ; VIA A. VENERI,57 ; 7 ; 1,66
114 ; VIA A. VENERI,57 ; 3 ; 0,72
115 ; VIA CASSALA,10 ; 2 ; 0,52
116 ; VIA CASSALA,10 ; 2 ; 0,56
117 ; VIA F. CAVALLOTTI,56 ; 3 ; 0,56
118 ; VIA DEGLI AZZARRI,7 ; 7 ; 1,10
119 ; VIA DEGLI AZZARRI,7 ; 5 ; 0,83
120 ; VIA L. VAN BEETHOVEN,48/1 ; 4 ; 0,80
121 ; VIA L. VAN BEETHOVEN,48/1 ; 2 ; 0,39
122 ; VIA L. VAN BEETHOVEN,131 ; 5 ; 1,31
123 ; VIALE ISONZO,36 ; 6 ; 1,49
124 ; VIA G. BOLOGNESI,2 ; 4 ; 0,85
125 ; VIA G. BOLOGNESI,2 ; 6 ; 1,28
126 ; VIA SALVADOR ALLENDE,3 ; 6 ; 1,28
127 ; VIA SALVADOR ALLENDE,3 ; 0 ;  
128 ; VIA SALVADOR ALLENDE,3 ; 11 ; 2,20
129 ; VIA G. RINALDI,40/A ; 10 ; 1,70
130 ; VIA R. IOTTI,2 ; 5 ; 1,20
131 ; VIA E. FERRI,14 ; 5 ; 0,91
132 ; VIA E. FERRI,14 ; 5 ; 0,99
133 ; VIA E. FERRI,14 ; 3 ; 0,54
134 ; VIALE RISORGIMENTO,80 ; 2 ; 6,67
135 ; VIALE RISORGIMENTO,80 ; 1 ; 2,22
136 ; VIA L. VAN BEETHOVEN,131 ; 9 ; 1,81
137 ; VIA BISMANTOVA,23 ; 8 ; 1,95
138 ; VIA M. K. GANDHI,16/C ; 10 ; 2,18
139 ; VIA F.LLI ROSSELLI,41/1 ; 11 ; 1,97
140 ; VIALE ISONZO,36 ; 6 ; 1,07
141 ; VIA E. FERMI,38 ; 3 ; 0,52
142 ; VIA D. FREDDI,41 ; 4 ; 0,69
143 ; VIA DON L.STURZO,9 ; 6 ; 1,04
144 ; VIA J. F. KENNEDY,20/A ; 2 ; 0,54
145 ; VIA J. F. KENNEDY,20/A ; 1 ; 0,32
146 ; VIA N. LASAGNI,5/A ; 7 ; 1,67
147 ; VIA M.L. KING, 1/A ; 3 ; 0,50
148 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 4 ; 0,85
149 ; VIA PREMUDA,36 ; 2 ; 0,40
150 ; VIA A. TASSONI,136 ; 3 ; 0,47
151 ; VIA P. G. TERRACHINI,20 ; 3 ; 0,86
152 ; VIA E. TORRICELLI,35 ; 4 ; 0,71
153 ; VIALE UMBERTO I,44 ; 3 ; 0,86
154 ; VIA G. BRUNO,29 ; 2 ; 0,58
155 ; VIA R. FRANCHETTI,8 ; 2 ; 0,49
156 ; VIA B. PASCAL,81 ; 5 ; 1,05
157 ; VIA SALVADOR ALLENDE,3 ; 2 ; 0,42
158 ; VIA F. P. TOSTI,4 ; 4 ; 1,16
159 ; VIA J. WIBICKJ,30 ; 6 ; 1,62
160 ; VIA MEDAGLIE D'ORO RESIST.,2 ; 4 ; 0,80